"gene_ID","ES1060192","ES1081720","ES1081721","ES1081722","ES1081723","ES1081714","ES1081725","ES1081726","ES1060191","ES1060193","ES1081719","ES1060195","ES1081724","ES1081708","ES1081709","ES1081715","ES1081716","ES1081710","ES1081711","ES1081717","ES1081712","ES1060211","ES1060213","ES1081713","ES1060215","ES1060197","ES1060217","ES1060199","ES1081741","ES1060219","ES1072184","ES1072185","ES1072186","ES1072187","ES1072192","ES1072193","ES1072194","ES1072195","ES1072196","ES1072197","ES1072198","ES1072199","ES1072200","ES1072201","ES1072202","ES1072203","ES1072204","ES1072205","ES1072206","ES1072207","ES1072188","ES1072189","ES1072190","ES1072191","ES1072183","ES1072181","ES1072182"
"A1CF",0.0897058473,0,0.0607276053,0.0114157026,0,0.1131381656,0.3454415584,0,0.1086226056,0.1594058556,0,0,0,0.1060479158,0,0.0171501989,0,0.0533988743,0,0,0.2412453159,0.2432644448,0,0,0,0,0.1132884742,0.0795575302,0,0.0371165902,0,0,0,0.0157482212,0,0,0,0,0,0.0314442702,0.0493759254,0,0.0499257984,0,0,0,0.0525781855,0.0204791932,0,0,0,0,0,0,0,0,0
"A2M",30.9023828736,6.5022591855,3.2068846942,1.6461443194,11.8335744408,2.3951136198,2.4426061164,4.2960369724,6.8239134655,14.2731497065,6.6292581293,17.8707449752,5.8631337212,13.2633881727,7.8956655208,3.6379859516,5.6660118975,7.8111873389,2.9707340744,3.4577802417,7.7314484422,15.3575160819,3.0612078317,10.1334735569,9.2653931829,8.5535962365,8.7114116268,10.7556648048,8.7939442568,11.7659590819,9.098434027,14.9455328927,15.5955118007,28.8003151544,0.1462159099,5.6036102735,9.3829969505,7.7903660995,1.2191394693,6.0853785902,27.5041625981,21.0288950572,1.772235297,6.4640734901,13.7451402034,25.6809371605,2.2612009717,16.6501298637,25.2205030199,39.0671619721,7.0546415216,11.0672661515,11.8634025424,31.3642139112,1.9506402295,2.1083322871,21.8598410519
"A2MP1",7.2379803629,0.7297973742,1.0767471552,3.7101033551,1.163004859,0.2988555319,0.0936035191,0.9652708953,1.144158112,6.8190282679,0.6796851734,4.856779053,0.1942332435,7.3247048852,1.2350626153,0.5102184187,1.5136716235,2.2512965423,1.2918993021,0.402313684,4.4166450147,9.7016177398,1.317679409,2.8447502855,2.4026268362,2.0333250018,3.1956790416,6.0284076894,1.913922106,5.3182771335,0.4130836301,3.1860530591,2.9318326103,1.6243483765,0,0,2.3145644603,0.1242057321,0,0.62371451,6.0069794311,1.0385904078,0,0.7196429687,1.9500880388,3.7988969991,0.4171669688,2.599783279,1.028537627,5.8311661096,1.0454708917,3.6635918219,0,3.760822698,0,0,2.4001486039
"A4GNT",0,0,0,0,0,0,0,0,0,0,0,0.0950837733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1437168287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGBL2",3.1345786062,3.7219666083,1.2425802311,1.8767415125,1.0782024214,2.0514297582,0.9806082949,2.1538333711,1.7669277173,2.4897676496,0.4259670778,2.2269620594,2.109463365,2.732583506,2.3851995104,2.133055994,1.695053102,1.1769111905,3.3090383106,0.5039508252,3.7856957269,4.9724410923,2.6866390657,1.1413719681,5.5218265884,1.1904606714,3.0328268601,3.3234516636,2.678114026,3.4544940702,4.9707998419,6.0194153381,3.4939040783,1.5035716116,2.9034011426,1.1198729441,3.2767148214,1.3700656217,5.5512914772,2.7519818729,0,4.4359376,1.1475383853,5.9656058711,2.0557983497,1.934968914,2.46348725,6.3002958409,3.0942007265,2.7965803848,1.5975323968,1.2699515085,3.2634505201,2.1674079198,0,0,0
"AGBL4",0.0948318957,0,0,0.1141570263,0,0,0.227322832,0,0,0.1012100671,0.137333648,0,0,0,0.0558083304,0.0771758953,0,0,0,0,0,0,0.0535098237,0,0.1211851255,0,0,0.043628323,0,0.0609772553,0,0.0556785071,0,0,0,0.5925132312,0,0,0,0.2506964948,0,0,0,0,0,0,0,0,0.4134115428,0,0.2401244102,0,0,0,0,0,0
"AGER",0.5228569384,0.3248775408,0.4577927167,0.8105148868,0.5112375526,0.4482832978,0.1938930038,0.3023740154,0.8689808446,1.1462040094,0.4073455662,0.7656745957,0.5826997304,0.7645314863,0.7570521335,0.6216947118,0.8291724728,0.6450584021,0.714667699,0.4298404097,0.018557332,0.9093456628,0.4682109575,0.4795498193,0.6480769755,0.5815991067,1.0290369735,0.7724779542,0.5484740807,0.684005733,1.328230513,0.4670325682,0.2865115109,0.2106336869,0.4421024567,1.0793465377,1.4918519241,1.6168731054,2.5970040624,0.8878690831,0.3546629394,0.7565181221,0.4575402505,1.1322592211,0.4495524228,0.9656785338,1.5236808838,2.2217209863,1.0114140475,1.0922068774,0.7693006389,0.622671366,0.2532036073,0.2307586345,0.6291210222,0.0777943115,0.2729471195
"AGFG2",7.3174341133,17.682284121,6.1521735503,18.6486918179,17.4378041053,13.9394758801,16.6302252195,18.5750683604,7.3863371788,7.4389399286,23.546901417,6.7884809742,12.8916669031,13.7270395257,13.6317913018,26.6235400904,10.7511712034,7.3071019651,8.7832237331,18.3772655959,8.3392010651,5.4908260402,5.8883101846,10.6520817325,5.0239137901,6.5975148661,5.9665263052,7.2063724103,6.7147914654,5.1963226229,7.1153247442,15.4229580483,10.787447219,8.5154209944,9.521874245,8.2631865438,8.2931178267,8.7127571525,10.0033425751,17.0960523146,14.9629990792,12.6177976612,4.9443248068,10.9585873065,18.6486698081,13.1864753038,7.4286531788,16.022191185,10.5913614037,15.6326347493,8.6498692136,16.5976670075,17.4356639088,11.5574155315,5.1806043521,4.631157403,4.4081358605
"AGK",23.679780656,49.8074936955,30.3194247747,39.3065472988,28.1641010032,25.3877774338,38.4643603676,35.4894055902,21.5362419311,19.8548849046,36.458592022,19.4821647125,41.0103166829,21.9247900437,21.517751026,19.1460533495,24.3958088484,23.5211361705,22.3978548399,21.0897068021,18.684913652,25.8931833468,23.8609222248,20.5577148775,23.4967420525,22.248437701,20.6279430015,19.0193824548,22.5333347228,19.1548117095,28.0424234904,23.4905051806,30.5138513947,21.0860283098,15.1187250801,16.1773514597,34.5482434301,42.5328834953,23.8980377514,30.6803141709,18.0694673654,20.5166680165,16.96952,24.8797673497,23.1587891175,23.5458635541,24.4941903348,16.0787152151,29.9844211936,31.8541587853,24.6522802185,22.6196815943,27.3211357234,21.8848623967,14.8255326296,28.4226282254,26.4676314031
"AGMAT",4.9697039389,2.6767084337,7.1495076832,4.6735886571,7.9447769434,9.2922723593,5.4401473815,6.1335406044,5.6049264474,4.855552967,3.3681659105,6.1804452659,6.2832195733,5.1346921115,6.1631808306,8.5750994735,4.6986440126,5.8418368531,7.7027645787,8.0907399288,5.1171842975,7.5122377365,9.1323432473,3.8993259061,9.4366330342,6.1931217372,8.4706736193,7.1678768312,5.145099954,6.6544743794,9.332930911,8.2814453237,6.1159397533,0.8088464173,11.8639329656,5.1540146138,4.4067722206,1.8445378199,10.7333376035,6.5075532229,2.9835332484,2.6804823457,10.3072607531,5.9190520093,4.2840393174,4.7530089594,8.7368307314,5.8160259493,4.3081834465,3.9581545919,10.8055984594,8.4736102258,2.4593914536,2.5184675298,1.9641581186,1.5815381273,1.6973240399
